"Area" "Time" "Intercept" "X1" "X2" "Y" "Var"
2 1 1 0.502853 0.415588 0.303105 0.000728
2 2 1 0.510154 0.41998 0.250032 0.000593
2 3 1 0.499364 0.416099 0.261484 0.000819
3 1 1 0.50432 0.442839 0.179701 0.00016
3 2 1 0.50544 0.429477 0.177524 0.000163
3 3 1 0.501952 0.443046 0.175358 0.000186
8 1 1 0.511051 0.459058 0.108384 3.3e-05
8 2 1 0.509457 0.490652 0.10549 3.6e-05
8 3 1 0.508517 0.488867 0.09623 3.4e-05
12 1 1 0.50068 0.453259 0.175914 0.000736
12 2 1 0.485724 0.478878 0.247768 0.001015
12 3 1 0.510825 0.474373 0.12216 0.000716
13 1 1 0.513787 0.369786 0.309139 0.000686
13 2 1 0.508677 0.384735 0.341113 0.000677
13 3 1 0.506475 0.401539 0.294176 0.000672
16 1 1 0.498238 0.370316 0.400297 0.002473
16 2 1 0.507197 0.372423 0.342267 0.002168
16 3 1 0.500335 0.402757 0.412106 0.003134
17 1 1 0.492315 0.520161 0.113042 0.000335
17 2 1 0.490202 0.502947 0.120774 0.000407
17 3 1 0.491647 0.519456 0.057924 0.000213
20 1 1 0.503211 0.465848 0.109374 0.00018
20 2 1 0.511708 0.480571 0.1076 0.00024
20 3 1 0.502282 0.47654 0.082388 0.000203
25 1 1 0.491693 0.45535 0.163808 0.00071
25 2 1 0.507129 0.459151 0.184013 0.000909
25 3 1 0.499759 0.472744 0.209146 0.001039
43 1 1 0.498541 0.466408 0.146345 0.000382
43 2 1 0.491464 0.474924 0.181178 0.000683
43 3 1 0.491474 0.495993 0.148671 0.000551
45 1 1 0.489951 0.405406 0.21923 0.000323
45 2 1 0.473074 0.447659 0.270293 0.000484
45 3 1 0.488254 0.457184 0.234361 0.000501
46 1 1 0.505742 0.450181 0.186366 0.000123
46 2 1 0.506344 0.47181 0.188873 0.000129
46 3 1 0.50103 0.477279 0.137869 0.000149
